text_id,text
memorial_grounds_title,"Lieu de recueil"
blocked_account_message,"Votre compte a été bloqué : vous ne pouvez plus laisser de fleurs ni de messages publics sur les tombes. Les fleurs que vous laissez maintenant seront immédiatement retirés."
registerd_welcome_message,"Ici, vous pouvez laisser des fleurs ou des messages sur les tombes de vos personnages favoris. Les messages seront validés par la maintenance du cimetière avant d'apparaître ne public."
registerd_welcome_message_2,"Pour sélectionner un autre type de fleur que la rose rouge par défaut ou pour laisser un message, cliquez sur l'icone de ce que vous souhaitez utiliser."
unregistered_welcome_message,"Cliquez sur une tombe pour y laisser une rose."
unregistered_welcome_message_2,"Les utilisateurs identifiés peuvent également laisser d'autres types de fleurs ainsi que des messages."
chronological_order_label,"Ordre chronologique"
popularity_label,"Popularité"
sort_graves_by_label,"Ordonner les tombes par:"
reload_button,"Recharger"
leave_message_message,"Écrivez ici le message que vous souhaitez laisser. Les autres visiteurs pourront le voir dès que la modération l'aura validé."
leave_message_button,"Laisser un message."
show_in_blacklist_message,"Ce cimetière est dans votre liste de anti-spoil ! Voulez-vous le voir quand même ?"
view_anyway_button,"Voir quand même."
season_capital_label,"Saison"
episode_capital_label,"Épisode"
flower," fleur"
flowers," fleurs"